Time	Channel A
(us)	(V)

-30.02799895	1.26439500
-30.02599895	1.26439500
-30.02399895	1.26439500
-30.02199895	1.26439500
-30.01999895	1.26328700
-30.01799895	1.26328700
-30.01599895	1.26328700
-30.01399895	1.26328700
-30.01199895	1.26328700
-30.00999895	1.26224200
-30.00799895	1.26224200
-30.00599895	1.26113400
-30.00399895	1.26008900
-30.00199895	1.25904300
-29.99999895	1.25793600
-29.99799895	1.25689000
-29.99599895	1.25584400
-29.99399895	1.25473700
-29.99199895	1.25369100
-29.98999895	1.25258400
-29.98799895	1.25258400
-29.98599895	1.25153800
-29.98399895	1.25049200
-29.98199895	1.24938500
-29.97999895	1.24833900
-29.97799895	1.24833900
-29.97599895	1.24729300
-29.97399895	1.24618600
-29.97199895	1.24514000
-29.96999895	1.24403300
-29.96799895	1.24298700
-29.96599895	1.24194100
-29.96399895	1.24083400
-29.96199895	1.23978800
-29.95999895	1.23874300
-29.95799895	1.23763500
-29.95599895	1.23659000
-29.95399895	1.23548200
-29.95199895	1.23339100
-29.94999895	1.23123800
-29.94799895	1.23019200
-29.94599895	1.22803900
-29.94399895	1.22588600
-29.94199895	1.22484000
-29.93999895	1.22373300
-29.93799895	1.22268700
-29.93599895	1.22053400
-29.93399895	1.21844200
-29.93199895	1.21733500
-29.92999895	1.21518200
-29.92799895	1.21309100
-29.92599895	1.21093800
-29.92399895	1.20878400
-29.92199895	1.20669300
-29.91999895	1.20454000
-29.91799895	1.20238700
-29.91599895	1.19918800
-29.91399895	1.19709600
-29.91199895	1.19494300
-29.90999895	1.19279000
-29.90799895	1.18959200
-29.90599895	1.18639300
-29.90399895	1.18424000
-29.90199895	1.18214800
-29.89999895	1.17894900
-29.89799895	1.17679600
-29.89599895	1.17464300
-29.89399895	1.17144400
-29.89199895	1.16824600
-29.88999895	1.16504700
-29.88799895	1.16289400
-29.88599895	1.16074100
-29.88399895	1.15858800
-29.88199895	1.15538900
-29.87999895	1.15219000
-29.87799895	1.14899100
-29.87599895	1.14579200
-29.87399895	1.14363900
-29.87199895	1.14044000
-29.86999895	1.13724200
-29.86799895	1.13404300
-29.86599895	1.13084400
-29.86399895	1.12659900
-29.86199895	1.12340100
-29.85999895	1.12020200
-29.85799895	1.11700300
-29.85599895	1.11269700
-29.85399895	1.10949800
-29.85199895	1.10525300
-29.84999895	1.10205500
-29.84799895	1.09879400
-29.84599895	1.09455000
-29.84399895	1.09135100
-29.84199895	1.08704500
-29.83999895	1.08384600
