t	X1	Y1	X2	Y2
s	m	m	m	m
 0.00000000	 0.00000000	-0.00037736		
 0.00507601	 0.00037736	-0.00037736	 0.02452830	-0.00981132
 0.01015203	 0.00037736	-0.00000000	 0.02490566	-0.00981132
 0.01522804	 0.00037736	-0.00000000	 0.02490566	-0.00981132
 0.02030405	 0.00037736	-0.00000000	 0.02490566	-0.00981132
 0.02538007	 0.00075472	-0.00000000	 0.02490566	-0.00981132
 0.03045608	 0.00113208	 0.00037736	 0.02490566	-0.00981132
 0.03553209	 0.00113208	 0.00075472	 0.02490566	-0.00981132
 0.04060811	 0.00150943	 0.00113208	 0.02490566	-0.00981132
 0.04568412	 0.00188679	 0.00113208	 0.02490566	-0.00981132
 0.05076014	 0.00188679	 0.00150943	 0.02528302	-0.00981132
 0.05583614	 0.00226415	 0.00188679	 0.02490566	-0.00981132
 0.06091216	 0.00264151	 0.00188679	 0.02490566	-0.00981132
 0.06598818	 0.00301887	 0.00226415	 0.02490566	-0.00981132
 0.07106419	 0.00339623	 0.00264151	 0.02528302	-0.00981132
 0.07614020	 0.00415094	 0.00301887	 0.02490566	-0.00981132
 0.08121622	 0.00452830	 0.00339623	 0.02490566	-0.00981132
 0.08629223	 0.00490566	 0.00377358	 0.02490566	-0.00981132
 0.09136824	 0.00566038	 0.00452830	 0.02490566	-0.00981132
 0.09644426	 0.00641509	 0.00490566	 0.02490566	-0.00981132
 0.10152027	 0.00716981	 0.00566038	 0.02490566	-0.00981132
 0.10659628	 0.00792453	 0.00603774	 0.02528302	-0.00981132
 0.11167229	 0.00867925	 0.00679245	 0.02490566	-0.00981132
 0.11674830	 0.00943396	 0.00716981	 0.02528302	-0.00981132
 0.12182432	 0.01056604	 0.00830189	 0.02537736	-0.00990566
 0.12690033	 0.01169811	 0.00905660	 0.02547170	-0.01000000
 0.13197635	 0.01283019	 0.00981132	 0.02556604	-0.01009434
 0.13705236	 0.01396226	 0.01056604	 0.02566038	-0.01018868
 0.14212838	 0.01547170	 0.01207547	 0.02547170	-0.01000000
 0.14720438	 0.01660377	 0.01283019	 0.02528302	-0.00981132
 0.15228041	 0.01849057	 0.01320755	 0.02515723	-0.00981132
 0.15735641	 0.02000000	 0.01433962	 0.02503145	-0.00981132
 0.16243243	 0.02150943	 0.01547170	 0.02490566	-0.00981132
 0.16750844	 0.02301887	 0.01698113	 0.02490566	-0.00981132
 0.17258446	 0.02566038	 0.01886792	 0.02509434	-0.00981132
 0.17766047	 0.02641509	 0.01849057	 0.02528302	-0.00981132
 0.18273649	 0.02943396	 0.02113207	 0.02490566	-0.00981132
