t	X1	Y1	X2	Y2
s	m	m	m	m
 0.00000000	-0.00043011	-0.00064516		
 0.00508301	-0.00043011	-0.00064516		
 0.01016601	-0.00043011	-0.00064516		
 0.01524902	 0.00000000	-0.00021505		
 0.02033202	 0.00000000	 0.00064516		
 0.02541503	 0.00000000	 0.00064516		
 0.03049803	 0.00043011	 0.00107527		
 0.03558104	 0.00043011	 0.00107527		
 0.04066405	 0.00043011	 0.00150538		
 0.04574705	 0.00043011	 0.00193548		
 0.05083006	 0.00043011	 0.00236559		
 0.05591306	 0.00086022	 0.00279570		
 0.06099607	 0.00129032	 0.00279570		
 0.06607907	 0.00129032	 0.00322581		
 0.07116208	 0.00172043	 0.00408602		
 0.07624508	 0.00215054	 0.00451613		
 0.08132809	 0.00215054	 0.00494624		
 0.08641110	 0.00258065	 0.00580645		
 0.09149411	 0.00258065	 0.00623656		
 0.09657711	 0.00344086	 0.00709677		
 0.10166011	 0.00387097	 0.00752688		
 0.10674312	 0.00387097	 0.00838710		
 0.11182612	 0.00430108	 0.00924731		
 0.11690913	 0.00516129	 0.01010753		
 0.12199213	 0.00559140	 0.01182796		
 0.12707514	 0.00602151	 0.01268817		
 0.13215815	 0.00688172	 0.01397849		
 0.13724115	 0.00774194	 0.01440860		
 0.14232416	 0.00774194	 0.01354839		
 0.14740716	 0.00903226	 0.01784946		
 0.15757318	 0.01032258	 0.02000000		
 0.16773918	 0.01204301	 0.02344086		
 0.17282219	 0.01333333	 0.02516129		
 0.17790520	 0.01419355	 0.02688172		
 0.18298821	 0.01548387	 0.02860215		
 0.18807121	 0.01634409	 0.03075269		
 0.19315422	 0.01720430	 0.03290322		
 0.19823723	 0.01849462	 0.03505376		
 0.20332022	 0.01978495	 0.03763441		
 0.20840323	 0.02150538	 0.04107527		
 0.21348624	 0.02322581	 0.04494624		
 0.21856925	 0.02408602	 0.04709677		
 0.22365224	 0.02580645	 0.05053763		
 0.24906728	 0.03268817	 0.05182796		
 0.25415027	 0.03311828	 0.05182796		
 0.25923330	 0.03139785	 0.05053763		
 0.43205547	-0.02924731	 0.05182796		
 0.43713850	-0.02666667	 0.04752688		
 0.44222149	-0.02451613	 0.04451613		
 0.44730449	-0.02236559	 0.04150538		
 0.45238751	-0.02021505	 0.03763441		
 0.45747051	-0.01892473	 0.03333334		
 0.46255350	-0.01720430	 0.02860215		
 0.46763653	-0.01548387	 0.02430108		
 0.47271952	-0.01419355	 0.02172043		
 0.47780254	-0.01290323	 0.02387097		
 0.48288554	-0.01118280	 0.02774194		
 0.48796853	-0.00989247	 0.03161290		
 0.49305156	-0.00903226	 0.03333334		
 0.49813455	-0.00946236	 0.03247312		
 0.50830054	-0.01075269	 0.02602150		
 0.51846659	-0.01161290	 0.02043011		
 0.52354956	-0.01161290	 0.01870968		
 0.52863258	-0.01161290	 0.01827957		
 0.53371561	-0.01118280	 0.01870968		
 0.53879863	-0.01075269	 0.01913979		
 0.54388160	-0.01032258	 0.01956989		
 0.54896462	-0.00946236	 0.02043011		
 0.55913061	-0.00774194	 0.02129032		
 0.56421363	-0.00688172	 0.02129032		
 0.56929666	-0.00559140	 0.02086022		
 0.57946265	-0.00344086	 0.01956989		
 0.58962864	-0.00086022	 0.01784946		
 0.59471166	 0.00000000	 0.01655914		
 0.59979469	 0.00043011	 0.01569892		
 0.60487765	 0.00215054	 0.01483871		
 0.60996068	 0.00301075	 0.01440860		
 0.61504370	 0.00387097	 0.01440860		
 0.62012666	 0.00473118	 0.01440860		
 0.62520969	 0.00516129	 0.01483871		
 0.63029271	 0.00602151	 0.01569892		
 0.63537574	 0.00645161	 0.01655914		
 0.64045870	 0.00688172	 0.01827957		
 0.64554173	 0.00731183	 0.02000000		
 0.65062475	 0.00817204	 0.02172043		
 0.65570772	 0.00860215	 0.02344086		
 0.66079074	 0.00946236	 0.02516129		
 0.66587377	 0.00989247	 0.02688172		
 0.67095673	 0.01075269	 0.02860215		
 0.67603976	 0.01118280	 0.02989247		
 0.68112278	 0.01161290	 0.03118280		
 0.68620574	 0.01247312	 0.03247312		
 0.69128877	 0.01333333	 0.03376344		
 0.69637179	 0.01376344	 0.03419355		
 0.70145476	 0.01462366	 0.03548387		
 0.70653778	 0.01548387	 0.03677419		
 0.71162081	 0.01634409	 0.03849462		
 0.71670377	 0.01763441	 0.04064516		
 0.72178680	 0.01849462	 0.04322581		
 0.72686982	 0.01978495	 0.04494624		
 0.73195285	 0.02064516	 0.04537635		
 0.74211884	 0.02193548	 0.04709677		
 0.74720186	 0.02322581	 0.05053763		
 0.77769989	 0.02451613	 0.04838710		
 0.78278285	 0.02451613	 0.04236559		
 0.86411095	-0.02580645	 0.04279570		
 0.88952601	-0.02365591	 0.03720430		
 0.89460897	-0.02322581	 0.03290322		
 0.89969200	-0.02193548	 0.03247312		
 0.90477502	-0.01978495	 0.03376344		
 0.90985799	-0.01978495	 0.03806452		
 0.91494101	-0.02021505	 0.04365591		
 0.92002404	-0.01849462	 0.04795699		
 0.92510700	-0.01677419	 0.05139785		
 0.94543904	-0.01505376	 0.05139785		
 0.96577108	-0.01376344	 0.02989247		
 0.97085410	-0.01290323	 0.02516129		
 0.97593707	-0.01333333	 0.02301075		
 0.98102009	-0.01462366	 0.02344086		
 0.98610312	-0.01505376	 0.02473118		
 0.99118608	-0.01419355	 0.02602150		
 0.99626911	-0.01333333	 0.02559140		
 1.00135207	-0.01161290	 0.02129032		
 1.00643516	-0.00989247	 0.01612903		
 1.01151812	-0.00903226	 0.01268817		
 1.01660109	-0.00860215	 0.01053763		
 1.02168417	-0.00903226	 0.01010753		
 1.02676713	-0.01032258	 0.01096774		
 1.03185010	-0.01075269	 0.01182796		
 1.03693318	-0.01118280	 0.01311828		
 1.04201615	-0.01032258	 0.01397849		
 1.04709911	-0.00946236	 0.01483871		
 1.05218220	-0.00860215	 0.01526882		
 1.05726516	-0.00774194	 0.01483871		
 1.06743121	-0.00602151	 0.01311828		
 1.07759726	-0.00516129	 0.01483871		
 1.08268023	-0.00559140	 0.01655914		
 1.08776319	-0.00516129	 0.01827957		
 1.09284627	-0.00473118	 0.01913979		
 1.09792924	-0.00430108	 0.01870968		
 1.10301220	-0.00387097	 0.01612903		
 1.10809529	-0.00301075	 0.01311828		
 1.11317825	-0.00258065	 0.00924731		
 1.11826122	-0.00215054	 0.00494624		
 1.12334430	-0.00172043	 0.00193548		
 1.12842727	-0.00129032	 0.00064516		
 1.13351023	-0.00043011	 0.00064516		
 1.13859332	 0.00000000	 0.00193548		
 1.14367628	 0.00086022	 0.00365591		
 1.14875925	 0.00172043	 0.00580645		
 1.15384233	 0.00172043	 0.00881720		
 1.15892529	 0.00215054	 0.01139785		
 1.16400826	 0.00215054	 0.01354839		
 1.16909134	 0.00258065	 0.01397849		
 1.17417431	 0.00258065	 0.01311828		
 1.17925727	 0.00258065	 0.01268817		
 1.18434036	 0.00215054	 0.01139785		
 1.18942332	 0.00215054	 0.00924731		
 1.19450629	 0.00129032	 0.00709677		
 1.19958937	 0.00086022	 0.00623656		
 1.20467234	 0.00000000	 0.00580645		
 1.20975530	-0.00086022	 0.00580645		
 1.21483839	-0.00129032	 0.00580645		
 1.21992135	-0.00172043	 0.00623656		
 1.22500432	-0.00172043	 0.00623656		
 1.23008740	-0.00172043	 0.00623656		
 1.23517036	-0.00172043	 0.00666667		
 1.24025333	-0.00129032	 0.00752688		
 1.24533641	-0.00086022	 0.00881720		
 1.25041938	-0.00043011	 0.01053763		
 1.25550234	 0.00000000	 0.01225806		
 1.27075148	 0.00301075	 0.01569892		
 1.27583444	 0.00344086	 0.01741935		
 1.28091741	 0.00430108	 0.01870968		
 1.29616642	 0.00731183	 0.02129032		
 1.30124950	 0.00774194	 0.02129032		
 1.30633247	 0.00860215	 0.02129032		
 1.31141543	 0.00903226	 0.02215054		
 1.31649852	 0.00946236	 0.02344086		
 1.32158148	 0.00946236	 0.02559140		
 1.33174753	 0.00989247	 0.02946237		
 1.33683050	 0.00989247	 0.03118280		
 1.34191346	 0.00989247	 0.03290322		
 1.34699655	 0.00989247	 0.03333334		
 1.35207951	 0.00989247	 0.03376344		
 1.36224556	 0.01032258	 0.03376344		
 1.36732852	 0.01032258	 0.03505376		
 1.37241149	 0.00989247	 0.03591398		
 1.37749457	 0.00946236	 0.03677419		
 1.38257754	 0.00860215	 0.03763441		
 1.38766050	 0.00817204	 0.03892473		
 1.39274359	 0.00731183	 0.04064516		
 1.39782655	 0.00645161	 0.04322581		
 1.40290952	 0.00645161	 0.04537635		
 1.40799260	 0.00559140	 0.04752688		
 1.41307557	 0.00516129	 0.04967742		
 1.41815853	 0.00473118	 0.05053763		
 1.42324162	 0.00387097	 0.05053763		
 1.42832458	 0.00301075	 0.04967742		
 1.43340755	 0.00215054	 0.04838710		
 1.43849063	 0.00172043	 0.04666667		
 1.44357359	 0.00129032	 0.04494624		
 1.45882261	 0.00086022	 0.04193548		
 1.46898866	 0.00129032	 0.04322581		
 1.47407162	 0.00086022	 0.04279570		
 1.47915471	 0.00129032	 0.04623656		
 1.48423767	 0.00172043	 0.04709677		
 1.48932064	 0.00000000	 0.04537635		
 1.50965273	-0.00043011	 0.04236559		
 1.51473570	-0.00258065	 0.03720430		
 1.51981866	-0.00387097	 0.03720430		
 1.52490175	-0.00559140	 0.04322581		
 1.56048274	-0.01677419	 0.05139785		
 1.59098077	-0.01505376	 0.03849462		
 1.59606373	-0.01505376	 0.03892473		
 1.60622978	-0.01247312	 0.03720430		
 1.61131275	-0.01075269	 0.03548387		
 1.61639583	-0.00946236	 0.03376344		
 1.62147880	-0.00774194	 0.03204301		
 1.62656176	-0.00645161	 0.03032258		
 1.63164485	-0.00516129	 0.02817204		
 1.63672781	-0.00387097	 0.02645161		
 1.64181077	-0.00301075	 0.02559140		
 1.65705991	-0.00387097	 0.02387097		
 1.66214287	-0.00430108	 0.02387097		
 1.66722584	-0.00430108	 0.02301075		
 1.67230892	-0.00430108	 0.02215054		
 1.67739189	-0.00430108	 0.02129032		
 1.68247485	-0.00387097	 0.02086022		
 1.68755794	-0.00387097	 0.02129032		
 1.69264090	-0.00387097	 0.02129032		
 1.69772387	-0.00430108	 0.02172043		
 1.70280695	-0.00473118	 0.02258065		
 1.70788991	-0.00516129	 0.02301075	 0.10709677	 0.01397849
 1.71297288	-0.00559140	 0.02301075	 0.10709677	 0.01397849
 1.71805596	-0.00559140	 0.02258065	 0.10666666	 0.01397849
 1.72313893	-0.00559140	 0.02258065	 0.10666666	 0.01397849
 1.72822189	-0.00602151	 0.02258065	 0.10655914	 0.01397849
 1.73330498	-0.00559140	 0.02258065	 0.10645161	 0.01397849
 1.73838794	-0.00516129	 0.02172043	 0.10634408	 0.01397849
 1.74347091	-0.00516129	 0.02000000	 0.10623655	 0.01397849
 1.74855399	-0.00516129	 0.01827957	 0.10615053	 0.01397849
 1.75363696	-0.00430108	 0.01698925	 0.10606451	 0.01397849
 1.76380301	-0.00387097	 0.01569892	 0.10589247	 0.01397849
 1.76888597	-0.00387097	 0.01569892	 0.10580645	 0.01397849
 1.77396894	-0.00301075	 0.01612903	 0.10574500	 0.01391705
 1.77905202	-0.00301075	 0.01612903	 0.10568356	 0.01385561
 1.78413498	-0.00301075	 0.01569892	 0.10562212	 0.01379416
 1.78921795	-0.00301075	 0.01483871	 0.10556067	 0.01373272
 1.79430103	-0.00301075	 0.01440860	 0.10549923	 0.01367127
 1.79938400	-0.00258065	 0.01354839	 0.10543778	 0.01360983
 1.80446696	-0.00215054	 0.01397849	 0.10537634	 0.01354839
 1.80955005	-0.00172043	 0.01440860	 0.10538601	 0.01355322
 1.81463301	-0.00129032	 0.01569892	 0.10539567	 0.01355805
 1.81971598	-0.00043011	 0.01655914	 0.10540534	 0.01356289
 1.82479906	 0.00000000	 0.01827957	 0.10541500	 0.01356772
 1.82988203	 0.00043011	 0.01956989	 0.10542467	 0.01357255
 1.83496499	 0.00086022	 0.02043011	 0.10543433	 0.01357738
 1.84004807	 0.00129032	 0.02086022	 0.10544400	 0.01358222
 1.84513104	 0.00129032	 0.02086022	 0.10545366	 0.01358705
 1.85021400	 0.00172043	 0.02086022	 0.10546333	 0.01359188
 1.85529709	 0.00129032	 0.02043011	 0.10547299	 0.01359671
 1.86038005	 0.00129032	 0.01956989	 0.10548266	 0.01360155
 1.86546314	 0.00129032	 0.01913979	 0.10549232	 0.01360638
 1.87562907	 0.00086022	 0.01870968	 0.10551166	 0.01361604
 1.88071215	 0.00129032	 0.01956989	 0.10552132	 0.01362088
 1.88579512	 0.00129032	 0.02000000	 0.10553099	 0.01362571
 1.89087808	 0.00129032	 0.02129032	 0.10554065	 0.01363054
 1.89596117	 0.00129032	 0.02258065	 0.10555032	 0.01363538
 1.90104413	 0.00086022	 0.02387097	 0.10555998	 0.01364021
 1.90612710	 0.00043011	 0.02516129	 0.10556965	 0.01364504
 1.91121018	 0.00043011	 0.02602150	 0.10557931	 0.01364987
 1.91629314	 0.00000000	 0.02602150	 0.10558898	 0.01365471
 1.92137611	-0.00043011	 0.02559140	 0.10559864	 0.01365954
 1.92645919	-0.00086022	 0.02473118	 0.10560831	 0.01366437
 1.93154216	-0.00129032	 0.02344086	 0.10561797	 0.01366920
 1.94170821	-0.00172043	 0.02086022	 0.10563730	 0.01367887
 1.94679117	-0.00215054	 0.01956989	 0.10564697	 0.01368370
 1.95187414	-0.00215054	 0.01870968	 0.10565663	 0.01368853
 1.95695722	-0.00215054	 0.01784946	 0.10566630	 0.01369337
 1.96204019	-0.00215054	 0.01741935	 0.10567597	 0.01369820
 1.97220623	-0.00172043	 0.01698925	 0.10569530	 0.01370787
 1.97728920	-0.00172043	 0.01784946	 0.10570496	 0.01371270
 1.98745525	-0.00086022	 0.01913979	 0.10572429	 0.01372236
 1.99762118	-0.00043011	 0.02129032	 0.10574362	 0.01373203
 2.00270414	-0.00043011	 0.02172043	 0.10575329	 0.01373686
 2.01795316	 0.00000000	 0.02258065	 0.10578228	 0.01375136
 2.02303624	-0.00043011	 0.02258065	 0.10579195	 0.01375619
 2.02811933	-0.00043011	 0.02215054	 0.10580162	 0.01376102
 2.03320217	-0.00043011	 0.02215054	 0.10581128	 0.01376586
 2.03828526	-0.00086022	 0.02215054	 0.10582095	 0.01377069
 2.04336834	-0.00129032	 0.02215054	 0.10583061	 0.01377552
 2.04845119	-0.00172043	 0.02215054	 0.10584028	 0.01378036
 2.05353427	-0.00215054	 0.02215054	 0.10584994	 0.01378519
 2.05861735	-0.00301075	 0.02215054	 0.10585961	 0.01379002
 2.06878328	-0.00387097	 0.02129032	 0.10587894	 0.01379969
 2.07386637	-0.00387097	 0.02129032	 0.10588860	 0.01380452
 2.07894921	-0.00430108	 0.02086022	 0.10589827	 0.01380935
 2.08403230	-0.00473118	 0.02043011	 0.10590793	 0.01381418
 2.08911538	-0.00516129	 0.02000000	 0.10591760	 0.01381902
 2.09419823	-0.00516129	 0.01956989	 0.10592726	 0.01382385
 2.09928131	-0.00559140	 0.01913979	 0.10593693	 0.01382868
 2.10436440	-0.00559140	 0.01913979	 0.10594659	 0.01383351
 2.10944724	-0.00559140	 0.01913979	 0.10595626	 0.01383835
 2.11453032	-0.00602151	 0.01913979	 0.10596593	 0.01384318
 2.11961341	-0.00602151	 0.01913979	 0.10597559	 0.01384801
 2.12469625	-0.00559140	 0.01870968	 0.10598526	 0.01385284
 2.12977934	-0.00559140	 0.01870968	 0.10599492	 0.01385768
 2.13486242	-0.00516129	 0.01784946	 0.10600459	 0.01386251
 2.13994527	-0.00516129	 0.01784946	 0.10601425	 0.01386734
 2.14502835	-0.00473118	 0.01741935	 0.10602392	 0.01387218
 2.15011144	-0.00430108	 0.01741935	 0.10603358	 0.01387701
 2.15519452	-0.00430108	 0.01698925	 0.10604325	 0.01388184
 2.16027737	-0.00387097	 0.01655914	 0.10605291	 0.01388667
 2.16536045	-0.00387097	 0.01612903	 0.10606258	 0.01389151
 2.17044353	-0.00344086	 0.01569892	 0.10607224	 0.01389634
 2.18060946	-0.00301075	 0.01612903	 0.10609157	 0.01390600
 2.18569255	-0.00301075	 0.01569892	 0.10610124	 0.01391084
 2.19077539	-0.00301075	 0.01569892	 0.10611091	 0.01391567
 2.19585848	-0.00301075	 0.01569892	 0.10612057	 0.01392050
 2.20094156	-0.00301075	 0.01526882	 0.10613024	 0.01392534
 2.20602441	-0.00301075	 0.01483871	 0.10613990	 0.01393017
 2.21110749	-0.00258065	 0.01483871	 0.10614957	 0.01393500
 2.21619058	-0.00258065	 0.01440860	 0.10615923	 0.01393983
